apps/frappe/frappe/core/doctype/user/user.py +102,Sorry! User should have complete access to their own record.,Sorry! User should have complete access to their own record.
apps/frappe/frappe/core/doctype/user/user.py +104,Sorry! Sharing with Website User is prohibited.,Sorry! Sharing with Website User is prohibited.
apps/frappe/frappe/core/doctype/user/user.py +116,Welcome email sent,Welcome email sent
apps/frappe/frappe/core/doctype/user/user.py +157,Password Update,Password Update
apps/frappe/frappe/core/doctype/user/user.py +166,Verify Your Account,Verify Your Account
apps/frappe/frappe/core/doctype/user/user.py +198,There should remain at least one System Manager,There should remain at least one System Manager
apps/frappe/frappe/core/doctype/user/user.py +203,User {0} cannot be deleted,User {0} cannot be deleted
apps/frappe/frappe/core/doctype/user/user.py +235,User {0} cannot be renamed,User {0} cannot be renamed
apps/frappe/frappe/core/doctype/user/user.py +333,Cannot Update: Incorrect / Expired Link.,Cannot Update: Incorrect / Expired Link.
apps/frappe/frappe/core/doctype/user/user.py +359,Registered but disabled.,Registered but disabled.
apps/frappe/frappe/core/doctype/user/user.py +361,Already Registered,Already Registered
apps/frappe/frappe/core/doctype/user/user.py +378,Registration Details Emailed.,Registration Details Emailed.
apps/frappe/frappe/core/doctype/user/user.py +383,Not allowed to reset the password of {0},Not allowed to reset the password of {0}
apps/frappe/frappe/core/doctype/user/user.py +390,Password reset instructions have been sent to your email,Password reset instructions have been sent to your email
apps/frappe/frappe/core/doctype/user/user.py +393,User {0} does not exist,User {0} does not exist
apps/frappe/frappe/core/doctype/user/user.py +47,User {0} cannot be disabled,User {0} cannot be disabled
apps/frappe/frappe/core/doctype/user/user.py +479,"Dear System Manager,","Dear System Manager,"
apps/frappe/frappe/core/doctype/user/user.py +481,Administrator accessed {0} on {1} via IP Address {2}.,Administrator accessed {0} on {1} via IP Address {2}.
apps/frappe/frappe/core/doctype/user/user.py +487,"If you think this is unauthorized, please change the Administrator password.","If you think this is unauthorized, please change the Administrator password."
apps/frappe/frappe/core/doctype/user/user.py +490,Administrator Logged In,Administrator Logged In
apps/frappe/frappe/core/doctype/user/user.py +63,Adding System Manager to this User as there must be atleast one System Manager,Adding System Manager to this User as there must be atleast one System Manager
apps/frappe/frappe/core/doctype/user/user.py +73,User with System Manager Role should always have User Type: System User,User with System Manager Role should always have User Type: System User
apps/frappe/frappe/core/doctype/user/user.py +81,New password emailed,New password emailed
apps/frappe/frappe/core/doctype/userrole/userrole.py +14,Role exists,Role exists
apps/frappe/frappe/core/doctype/version/version.js +10,Version restored,Version restored
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +21,Download Blank Template,Download Blank Template
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +24,Recommended for inserting new records.,Recommended for inserting new records.
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +3,Export Template,Export Template
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +33,"Recommended bulk editing records via import, or understanding the import format.","Recommended bulk editing records via import, or understanding the import format."
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +4,"To import or update records, you must first download the template for importing.","To import or update records, you must first download the template for importing."
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +40,Update the template and save in CSV (Comma Separate Values) format before attaching.,Update the template and save in CSV (Comma Separate Values) format before attaching.
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +47,"Do not update, but insert new records.","Do not update, but insert new records."
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +5,Select Type of Document to Download,Select Type of Document to Download
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +53,Submit after importing.,Submit after importing.
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +59,Ignore encoding errors.,Ignore encoding errors.
apps/frappe/frappe/core/page/data_import_tool/data_import_main.html +7,Select Type,Select Type
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.js +125,Import Failed,Import Failed
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +13,Start entering data below this line,Start entering data below this line
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +15,Parent Table,Parent Table
apps/frappe/frappe/core/page/data_import_tool/data_import_tool.py +16,Column Name,Column Name
apps/frappe/frappe/core/page/data_import_tool/exporter.py +227,Column Labels:,Column Labels:
apps/frappe/frappe/core/page/data_import_tool/exporter.py +229,Mandatory:,Mandatory:
apps/frappe/frappe/core/page/data_import_tool/exporter.py +230,Type:,Type:
